Level,Satin,Gilded Threads,Artisan's Vision
None,0,0,0
Green (0 star),1500,15,0
Green (1 star),3800,40,0
Blue (0 star),7000,70,0
Blue (1 star),9700,95,0
Blue (2 star),1000,10,45
Blue (3 star),1000,10,50
Purple (0 star),1500,15,60
Purple (1 star),1500,15,70
Purple (2 star),6500,65,40
Purple (3 star),8000,80,50
Purple T1 (0 star),10000,95,60
Purple T1 (1 star),11000,110,70
Purple T1 (2 star),13000,130,85
Purple T1 (3 star),15000,160,100
Gold (0 star),22000,220,40
Gold (1 star),23000,230,40
Gold (2 star),25000,250,45
Gold (3 star),26000,260,45
Gold T1 (0 star),28000,280,45
Gold T1 (1 star),30000,300,55
Gold T1 (2 star),32000,320,55
Gold T1 (3 star),35000,340,55
Gold T2 (0 star),38000,390,55
Gold T2 (1 star),43000,430,75
Gold T2 (2 star),45000,460,80
Gold T2 (3 star),48000,500,85
Gold T3 (0 star),60000,600,120
Gold T3 (1 star),70000,700,140
Gold T3 (2 star),80000,800,160
Gold T3 (3 star),90000,900,180
Red (0 star),108000,1080,220
